date,open,high,low,close,volume
2026-02-16 14:41:00,1971.18,1972.88,1969.87,1970.31,226.7426
2026-02-16 14:42:00,1970.32,1971.15,1968.0,1969.47,400.7612
2026-02-16 14:43:00,1969.46,1970.33,1967.41,1970.33,115.3582
2026-02-16 14:44:00,1970.34,1970.99,1969.7,1970.7,176.7712
2026-02-16 14:45:00,1970.71,1971.56,1968.47,1971.21,250.2896
2026-02-16 14:46:00,1971.21,1971.21,1967.44,1967.8,253.5469
2026-02-16 14:47:00,1967.78,1971.46,1966.6,1970.75,249.0328
2026-02-16 14:48:00,1970.75,1974.05,1970.75,1973.12,255.9827
2026-02-16 14:49:00,1973.12,1975.35,1973.12,1975.05,329.7562
2026-02-16 14:50:00,1975.04,1983.45,1975.04,1976.75,1898.0786
2026-02-16 14:51:00,1976.75,1978.24,1976.13,1976.13,201.6993
2026-02-16 14:52:00,1976.1,1976.1,1972.1,1972.9,256.5251
2026-02-16 14:53:00,1972.91,1973.4,1971.27,1972.78,128.9289
2026-02-16 14:54:00,1972.78,1973.71,1970.33,1970.42,182.9561
2026-02-16 14:55:00,1970.43,1972.65,1969.65,1972.6,343.8536
2026-02-16 14:56:00,1972.59,1972.6,1971.26,1972.59,96.4885
2026-02-16 14:57:00,1972.58,1972.96,1971.97,1972.54,56.1796
2026-02-16 14:58:00,1972.53,1974.33,1972.53,1973.6,107.5908
2026-02-16 14:59:00,1973.59,1973.7,1972.53,1973.13,106.0869
2026-02-16 15:00:00,1973.13,1978.73,1972.87,1977.5,494.0738
2026-02-16 15:01:00,1977.51,1980.84,1976.7,1979.88,502.2928
2026-02-16 15:02:00,1979.88,1984.21,1979.73,1981.47,749.886
2026-02-16 15:03:00,1981.49,1984.1,1980.9,1980.9,419.659
2026-02-16 15:04:00,1980.9,1981.64,1978.21,1980.67,563.5733
2026-02-16 15:05:00,1980.66,1983.79,1980.66,1982.08,529.3023
2026-02-16 15:06:00,1982.08,1983.59,1982.08,1983.59,169.5049
2026-02-16 15:07:00,1983.59,1984.55,1980.75,1983.87,503.8346
2026-02-16 15:08:00,1983.87,1986.12,1983.87,1984.33,359.2813
2026-02-16 15:09:00,1984.37,1984.69,1981.27,1981.27,172.7559
2026-02-16 15:10:00,1981.28,1982.61,1980.5,1980.51,196.3234
2026-02-16 15:11:00,1980.51,1981.39,1979.48,1980.84,260.9438
2026-02-16 15:12:00,1980.84,1981.73,1979.08,1979.94,184.0293
2026-02-16 15:13:00,1979.94,1980.25,1978.27,1978.29,279.9088
2026-02-16 15:14:00,1978.29,1978.29,1972.46,1973.05,1219.5592
2026-02-16 15:15:00,1973.04,1973.04,1968.59,1971.0,1556.383
2026-02-16 15:16:00,1971.0,1973.15,1969.47,1969.48,164.6353
2026-02-16 15:17:00,1969.48,1970.53,1967.74,1968.96,220.9159
2026-02-16 15:18:00,1968.95,1971.57,1966.72,1971.52,301.69
2026-02-16 15:19:00,1971.52,1971.82,1968.36,1968.96,205.8934
2026-02-16 15:20:00,1968.96,1970.8,1968.36,1970.78,210.7748
2026-02-16 15:21:00,1970.78,1972.32,1969.87,1972.03,275.3998
2026-02-16 15:22:00,1972.04,1972.04,1968.88,1969.45,109.6641
2026-02-16 15:23:00,1969.45,1970.76,1969.45,1970.11,91.2463
2026-02-16 15:24:00,1970.11,1970.11,1967.59,1968.05,139.0461
2026-02-16 15:25:00,1968.05,1968.05,1966.52,1967.45,123.5893
2026-02-16 15:26:00,1967.44,1967.69,1963.05,1965.39,608.0025
2026-02-16 15:27:00,1965.38,1970.14,1964.45,1969.88,311.0813
2026-02-16 15:28:00,1969.88,1970.23,1967.57,1968.05,198.5596
2026-02-16 15:29:00,1968.04,1968.61,1966.41,1966.41,129.2014
2026-02-16 15:30:00,1966.4,1966.51,1960.52,1960.82,1035.9992
